rowNumber,carrierName,contactName,portLabel,normalizedPortLabel,dbOfficeId,dbOfficeName,reviewReason,sourcesChecked,currentSuggestions
556,CMA CGM,Sandeep Shinde,Canton Island,CANTON ISLAND,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Canton Island with airport function only, not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/ki.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
563,CMA CGM,Sandeep Shinde,Changjiang,CHANGJIANG,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official sources indicate broader geography/county-style references, not a defensible one-to-one seaport mapping for this workbook label.",https://service.unece.org/trade/locode/cn.htm,"[{""code"":""CNZNG"",""name"":""(CNZNG) Zhanjiang Pt"",""cityName"":""Zhanjiang"",""countryName"":""China"",""score"":56,""rationale"":""Alias \""ZHANJIANG\"" is a partial text match.""}]"
563,CMA CGM,Sandeep Shinde,Changjiang,CHANGJIANG,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official sources indicate broader geography/county-style references, not a defensible one-to-one seaport mapping for this workbook label.",https://service.unece.org/trade/locode/cn.htm,"[{""code"":""CNZNG"",""name"":""(CNZNG) Zhanjiang Pt"",""cityName"":""Zhanjiang"",""countryName"":""China"",""score"":56,""rationale"":""Alias \""ZHANJIANG\"" is a partial text match.""}]"
567,CMA CGM,Sandeep Shinde,Chengguan,CHENGGUAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,Could not confirm a clean one-to-one seaport entry in the official sources checked. Avoid forcing a port-level mapping.,https://service.unece.org/trade/locode/cn.htm,[]
567,CMA CGM,Sandeep Shinde,Chengguan,CHENGGUAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,Could not confirm a clean one-to-one seaport entry in the official sources checked. Avoid forcing a port-level mapping.,https://service.unece.org/trade/locode/cn.htm,[]
574,CMA CGM,Sandeep Shinde,Christchurch,CHRISTCHURCH,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Christchurch with road and airport functions, but not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/nz.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
574,CMA CGM,Sandeep Shinde,Christchurch,CHRISTCHURCH,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Christchurch with road and airport functions, but not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/nz.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
575,CMA CGM,Sandeep Shinde,Cikarang,CIKARANG,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Cikarang as a road-terminal style location, not a seaport. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/id.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
575,CMA CGM,Sandeep Shinde,Cikarang,CIKARANG,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Cikarang as a road-terminal style location, not a seaport. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/id.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
606,CMA CGM,Sandeep Shinde,Dhaka,DHAKA,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Dhaka as an inland city/airport-style location, not as a seaport. Keep this out of automatic seaport mapping unless there is an explicit operational rule to map Dhaka traffic via a specific gateway port.",https://service.unece.org/trade/locode/bd.htm,"[{""code"":""JPOSA"",""name"":""(JPOSA) Osaka"",""cityName"":""Osaka"",""countryName"":""Japan"",""score"":56,""rationale"":""Alias \""OSAKA\"" is a partial text match.""},{""code"":""SNDKR"",""name"":""(SNDKR) Dakar"",""cityName"":""Dakar"",""countryName"":""Senegal"",""score"":56,""rationale"":""Alias \""DAKAR\"" is a partial text match.""}]"
606,CMA CGM,Sandeep Shinde,Dhaka,DHAKA,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Dhaka as an inland city/airport-style location, not as a seaport. Keep this out of automatic seaport mapping unless there is an explicit operational rule to map Dhaka traffic via a specific gateway port.",https://service.unece.org/trade/locode/bd.htm,"[{""code"":""JPOSA"",""name"":""(JPOSA) Osaka"",""cityName"":""Osaka"",""countryName"":""Japan"",""score"":56,""rationale"":""Alias \""OSAKA\"" is a partial text match.""},{""code"":""SNDKR"",""name"":""(SNDKR) Dakar"",""cityName"":""Dakar"",""countryName"":""Senegal"",""score"":56,""rationale"":""Alias \""DAKAR\"" is a partial text match.""}]"
639,CMA CGM,Sandeep Shinde,Fujian,FUJIAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists multiple Fujian province locations, including separate Fuzhou and Xiamen entries with port function 1. Province-only label does not identify a single canonical seaport, so keep it out of automatic mapping.",https://service.unece.org/trade/locode/cn.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,"[{""code"":""CNFZH"",""name"":""(CNFZH) Fuzhou"",""cityName"":""Fuzhou"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""FUZHOU MAWEI FUJIAN\"" is a partial text match.""},{""code"":""CNXMN"",""name"":""(CNXMN) Xiamen"",""cityName"":""Xiamen"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""XIAMEN FUJIAN\"" is a partial text match.""}]"
639,CMA CGM,Sandeep Shinde,Fujian,FUJIAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists multiple Fujian province locations, including separate Fuzhou and Xiamen entries with port function 1. Province-only label does not identify a single canonical seaport, so keep it out of automatic mapping.",https://service.unece.org/trade/locode/cn.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,"[{""code"":""CNFZH"",""name"":""(CNFZH) Fuzhou"",""cityName"":""Fuzhou"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""FUZHOU MAWEI FUJIAN\"" is a partial text match.""},{""code"":""CNXMN"",""name"":""(CNXMN) Xiamen"",""cityName"":""Xiamen"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""XIAMEN FUJIAN\"" is a partial text match.""}]"
670,CMA CGM,Sandeep Shinde,Guangdong,GUANGDONG,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists multiple Guangdong province locations with port function 1, so the province-only label does not identify one canonical seaport. Keep it out of automatic mapping.",https://service.unece.org/trade/locode/cn.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,"[{""code"":""CNHUA"",""name"":""(CNHUA) Huangpu Pt"",""cityName"":""Huangpu Pt"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""HUANGPU GUANGDONG\"" is a partial text match.""},{""code"":""CNJMN"",""name"":""(CNJMN) Jiangmen"",""cityName"":""Jiangmen"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""JIANGMEN GUANGDONG\"" is a partial text match.""},{""code"":""CNLIH"",""name"":""(CNLIH) Lianhuashan Pt"",""cityName"":""Lianhuashan"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""LIANHUASHAN GUANGZHOU GUANGDONG\"" is a partial text match.""},{""code"":""CNSJQ"",""name"":""(CNSJQ) Sanshui"",""cityName"":""Sanshui"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""SANSHUI GUANGDONG\"" is a partial text match.""},{""code"":""CNSTG"",""name"":""(CNSTG) Shantou"",""cityName"":""Shantou"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""SHANTOU GUANGDONG\"" is a partial text match.""}]"
670,CMA CGM,Sandeep Shinde,Guangdong,GUANGDONG,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists multiple Guangdong province locations with port function 1, so the province-only label does not identify one canonical seaport. Keep it out of automatic mapping.",https://service.unece.org/trade/locode/cn.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,"[{""code"":""CNHUA"",""name"":""(CNHUA) Huangpu Pt"",""cityName"":""Huangpu Pt"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""HUANGPU GUANGDONG\"" is a partial text match.""},{""code"":""CNJMN"",""name"":""(CNJMN) Jiangmen"",""cityName"":""Jiangmen"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""JIANGMEN GUANGDONG\"" is a partial text match.""},{""code"":""CNLIH"",""name"":""(CNLIH) Lianhuashan Pt"",""cityName"":""Lianhuashan"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""LIANHUASHAN GUANGZHOU GUANGDONG\"" is a partial text match.""},{""code"":""CNSJQ"",""name"":""(CNSJQ) Sanshui"",""cityName"":""Sanshui"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""SANSHUI GUANGDONG\"" is a partial text match.""},{""code"":""CNSTG"",""name"":""(CNSTG) Shantou"",""cityName"":""Shantou"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""SHANTOU GUANGDONG\"" is a partial text match.""}]"
685,CMA CGM,Sandeep Shinde,Hankow(Hankou),HANKOW HANKOU,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Hankou with rail and road functions, not port function 1, and also notes the old-name equivalence to Wuhan Tianhe International Apt. Avoid forcing this to a seaport.",https://service.unece.org/trade/locode/cn.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,"[{""code"":""CNHKO"",""name"":""(CNHKO) Haikou"",""cityName"":""Haikou"",""countryName"":""China"",""score"":64,""rationale"":""Alias \""HAIKOU\"" is a partial text match.""},{""code"":""CNSTG"",""name"":""(CNSTG) Shantou"",""cityName"":""Shantou"",""countryName"":""China"",""score"":56,""rationale"":""Alias \""SHANTOU\"" is a partial text match.""}]"
685,CMA CGM,Sandeep Shinde,Hankow(Hankou),HANKOW HANKOU,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Hankou with rail and road functions, not port function 1, and also notes the old-name equivalence to Wuhan Tianhe International Apt. Avoid forcing this to a seaport.",https://service.unece.org/trade/locode/cn.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,"[{""code"":""CNHKO"",""name"":""(CNHKO) Haikou"",""cityName"":""Haikou"",""countryName"":""China"",""score"":64,""rationale"":""Alias \""HAIKOU\"" is a partial text match.""},{""code"":""CNSTG"",""name"":""(CNSTG) Shantou"",""cityName"":""Shantou"",""countryName"":""China"",""score"":56,""rationale"":""Alias \""SHANTOU\"" is a partial text match.""}]"
716,CMA CGM,Sandeep Shinde,Icd Dhaka,ICD DHAKA,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE references point to Kamalapur/Dhaka rather than a seaport, and this label reads like an inland container depot workflow. Avoid forcing a seaport mapping from an ICD-style label.",https://service.unece.org/trade/locode/bd.htm | https://service.unece.org/trade/uncefact/vocabulary/unlocode-bd/,[]
716,CMA CGM,Sandeep Shinde,Icd Dhaka,ICD DHAKA,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE references point to Kamalapur/Dhaka rather than a seaport, and this label reads like an inland container depot workflow. Avoid forcing a seaport mapping from an ICD-style label.",https://service.unece.org/trade/locode/bd.htm | https://service.unece.org/trade/uncefact/vocabulary/unlocode-bd/,[]
717,CMA CGM,Sandeep Shinde,Icd Dhaka/Kamalapur,ICD DHAKA KAMALAPUR,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE identifies Kamalapur/Dhaka, which supports inland-terminal handling rather than a seaport mapping. Keep unresolved on the seaport queue until ICD/service-location logic is handled separately.",https://service.unece.org/trade/locode/bd.htm | https://service.unece.org/trade/uncefact/vocabulary/unlocode-bd/,[]
717,CMA CGM,Sandeep Shinde,Icd Dhaka/Kamalapur,ICD DHAKA KAMALAPUR,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE identifies Kamalapur/Dhaka, which supports inland-terminal handling rather than a seaport mapping. Keep unresolved on the seaport queue until ICD/service-location logic is handled separately.",https://service.unece.org/trade/locode/bd.htm | https://service.unece.org/trade/uncefact/vocabulary/unlocode-bd/,[]
727,CMA CGM,Sandeep Shinde,Indonesia,INDONESIA,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Indonesia include many separate locations, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/id.htm,[]
727,CMA CGM,Sandeep Shinde,Indonesia,INDONESIA,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Indonesia include many separate locations, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/id.htm,[]
747,CMA CGM,Sandeep Shinde,Japan,JAPAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Japan are location-specific, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/jp.htm,"[{""code"":""SAJEC"",""name"":""(SAJEC) Jazan Economic City"",""cityName"":""Jazan"",""countryName"":""Saudi Arabia"",""score"":64,""rationale"":""Alias \""JAZAN\"" is a partial text match.""}]"
747,CMA CGM,Sandeep Shinde,Japan,JAPAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Japan are location-specific, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/jp.htm,"[{""code"":""SAJEC"",""name"":""(SAJEC) Jazan Economic City"",""cityName"":""Jazan"",""countryName"":""Saudi Arabia"",""score"":64,""rationale"":""Alias \""JAZAN\"" is a partial text match.""}]"
753,CMA CGM,Sandeep Shinde,Jiangsu,JIANGSU,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists multiple Jiangsu province locations, including separate Lianyungang, Nantong, Zhenjiang, and Zhangjiagang entries. Province-only label is too ambiguous to auto-map.",https://service.unece.org/trade/locode/cn.htm,"[{""code"":""CNLYG"",""name"":""(CNLYG) Lianyungang"",""cityName"":""Lianyungang"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""LIANYUNGANG JIANGSU\"" is a partial text match.""},{""code"":""CNNTG"",""name"":""(CNNTG) Nantong"",""cityName"":""Nantong"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""NANTONG JIANGSU\"" is a partial text match.""},{""code"":""CNZHE"",""name"":""(CNZHE) Zhenjiang"",""cityName"":""Zhenjiang"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""ZHENJIANG JIANGSU\"" is a partial text match.""},{""code"":""CNZJG"",""name"":""(CNZJG) Zhangjiagang"",""cityName"":""Zhangjiagang"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""ZHANGJIAGANG JIANGSU\"" is a partial text match.""}]"
753,CMA CGM,Sandeep Shinde,Jiangsu,JIANGSU,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists multiple Jiangsu province locations, including separate Lianyungang, Nantong, Zhenjiang, and Zhangjiagang entries. Province-only label is too ambiguous to auto-map.",https://service.unece.org/trade/locode/cn.htm,"[{""code"":""CNLYG"",""name"":""(CNLYG) Lianyungang"",""cityName"":""Lianyungang"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""LIANYUNGANG JIANGSU\"" is a partial text match.""},{""code"":""CNNTG"",""name"":""(CNNTG) Nantong"",""cityName"":""Nantong"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""NANTONG JIANGSU\"" is a partial text match.""},{""code"":""CNZHE"",""name"":""(CNZHE) Zhenjiang"",""cityName"":""Zhenjiang"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""ZHENJIANG JIANGSU\"" is a partial text match.""},{""code"":""CNZJG"",""name"":""(CNZJG) Zhangjiagang"",""cityName"":""Zhangjiagang"",""countryName"":""China"",""score"":84,""rationale"":""Alias \""ZHANGJIAGANG JIANGSU\"" is a partial text match.""}]"
758,CMA CGM,Sandeep Shinde,Johannesburg,JOHANNESBURG,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Johannesburg as a non-seaport inland/airport-style location, which matches the existing repo direction of treating Johannesburg as a service location rather than a seaport. Do not force a seaport code here.",https://service.unece.org/trade/locode/za.htm,[]
758,CMA CGM,Sandeep Shinde,Johannesburg,JOHANNESBURG,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Johannesburg as a non-seaport inland/airport-style location, which matches the existing repo direction of treating Johannesburg as a service location rather than a seaport. Do not force a seaport code here.",https://service.unece.org/trade/locode/za.htm,[]
768,CMA CGM,Sandeep Shinde,Kazakhstan,KAZAKHSTAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Kazakhstan are location-specific, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/kz.htm,[]
768,CMA CGM,Sandeep Shinde,Kazakhstan,KAZAKHSTAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Kazakhstan are location-specific, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/kz.htm,[]
804,CMA CGM,Sandeep Shinde,Kyrgyzstan,KYRGYZSTAN,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Kyrgyzstan are location-specific, so the country-only label should stay out of automatic seaport mapping.",https://service.unece.org/trade/locode/kg.htm,[]
804,CMA CGM,Sandeep Shinde,Kyrgyzstan,KYRGYZSTAN,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Kyrgyzstan are location-specific, so the country-only label should stay out of automatic seaport mapping.",https://service.unece.org/trade/locode/kg.htm,[]
813,CMA CGM,Sandeep Shinde,Laos,LAOS,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Laos are location-specific, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/la.htm,[]
813,CMA CGM,Sandeep Shinde,Laos,LAOS,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Laos are location-specific, so the country-only label is too broad to auto-map to one seaport.",https://service.unece.org/trade/locode/la.htm,[]
831,CMA CGM,Sandeep Shinde,Lilongwe,LILONGWE,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Lilongwe as an inland city/airport-style location, not a seaport. Avoid forcing a seaport mapping without an explicit gateway-port rule.",https://service.unece.org/trade/locode/mw.htm,[]
831,CMA CGM,Sandeep Shinde,Lilongwe,LILONGWE,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Lilongwe as an inland city/airport-style location, not a seaport. Avoid forcing a seaport mapping without an explicit gateway-port rule.",https://service.unece.org/trade/locode/mw.htm,[]
874,CMA CGM,Sandeep Shinde,Mexico City,MEXICO CITY,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"Official UN/LOCODE lists Ciudad de Mexico with rail, road, airport, postal, and multimodal functions, but not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/mx.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
874,CMA CGM,Sandeep Shinde,Mexico City,MEXICO CITY,31e8eb3d-01a8-4b6d-9509-564b008e6e2c,Chennai,"Official UN/LOCODE lists Ciudad de Mexico with rail, road, airport, postal, and multimodal functions, but not port function 1. Keep this out of automatic seaport mapping.",https://service.unece.org/trade/locode/mx.htm | https://service.unece.org/trade/locode/Service/LocodeColumn.htm,[]
888,CMA CGM,Sandeep Shinde,Moldova,MOLDOVA,a062d891-a26c-484c-8551-5f64912aafb7,Mumbai,"This workbook value is a country name, not a transport location. Official UN/LOCODE entries for Moldova are location-specific, so the country-only label should stay out of automatic seaport mapping.",https://service.unece.org/trade/locode/md.htm,[]
